intern_id,attendance,punctuality,sprint_completion,task_quality,deadline_met,communication,collaboration,initiative_score,work_quality,productivity,performance_score,performance
RX0001,14.73,100,50.0,59.177902141957155,61.9,77.27272727272727,69.54545454545455,78.57142857142857,60.53895107097858,64.28571428571428,48.07937064258714,medium
RX0002,83.51,0,20.0,35.22,0.0,52.63157894736842,47.368421052631575,44.44444444444444,17.61,32.22222222222222,33.268,low
RX0003,49.99,0,80.0,63.06,52.11,94.11764705882352,84.70588235294117,69.23076923076923,57.585,74.61538461538461,63.33800000000001,medium
RX0004,47.39,100,57.14285714285714,83.69,79.15,64.70588235294117,58.23529411764706,50.0,81.42,53.57142857142857,67.55785714285713,medium
RX0005,51.53,0,40.0,72.15,60.14,25.0,22.5,54.54545454545454,66.14500000000001,47.272727272727266,55.979,low
RX0006,74.49,100,57.14285714285714,59.177902141957155,74.13,69.56521739130434,62.608695652173914,100.0,66.65395107097858,78.57142857142857,64.62022778544429,high
RX0007,49.67,0,33.33333333333333,4.76,87.99,52.63157894736842,47.368421052631575,37.5,46.375,35.416666666666664,38.959999999999994,low
RX0008,100.0,0,50.0,49.74,64.1,82.35294117647058,74.11764705882352,78.57142857142857,56.92,64.28571428571428,62.742000000000004,medium
RX0009,85.3,100,100.0,50.06,82.14,86.66666666666667,78.0,92.85714285714286,66.1,96.42857142857143,78.506,high
RX0010,64.5466429020759,0,60.0,47.46,57.27,83.33333333333334,75.00000000000001,90.9090909090909,52.365,75.45454545454545,56.601328580415185,medium
RX0011,48.35,100,83.33333333333334,32.59,87.87,70.0,63.0,50.0,60.230000000000004,66.66666666666667,62.021,medium
RX0012,52.48,0,28.57142857142857,34.59,41.75,4.761904761904762,4.285714285714286,27.27272727272727,38.17,27.922077922077918,37.794428571428575,low
RX0013,100.0,100,80.0,79.78,42.27,88.88888888888889,80.0,64.28571428571429,61.025000000000006,72.14285714285714,76.388,medium
RX0014,100.0,100,100.0,37.66,92.75,76.47058823529412,68.82352941176471,92.3076923076923,65.205,96.15384615384616,79.848,high
RX0015,0.0,0,50.0,37.88,83.53,81.25,73.125,75.0,60.705,62.5,43.07,medium
RX0016,64.5466429020759,0,14.285714285714285,85.72,61.79,18.181818181818183,16.363636363636367,61.53846153846154,73.755,37.91208791208791,55.26904286612947,low
RX0017,64.98,100,100.0,84.69,55.91,90.0,81.0,100.0,70.3,100.0,79.58500000000001,high
RX0018,85.68,100,57.14285714285714,31.74,71.92,58.82352941176471,52.94117647058824,90.0,51.83,73.57142857142857,58.18485714285715,medium
RX0019,73.21,100,42.857142857142854,49.65,60.72,5.88235294117647,5.294117647058823,8.333333333333332,55.185,25.595238095238095,54.53814285714286,low
RX0020,44.66,0,71.42857142857143,51.28,49.77,72.22222222222221,65.0,50.0,50.525000000000006,60.714285714285715,55.698571428571434,medium
RX0021,39.36,100,57.14285714285714,27.36,46.23,72.72727272727273,65.45454545454547,92.3076923076923,36.795,74.72527472527472,42.468857142857146,medium
RX0022,89.9,0,83.33333333333334,46.34,51.33,88.23529411764706,79.41176470588235,66.66666666666666,48.835,75.0,67.148,high
RX0023,79.57,0,100.0,67.91,37.65,76.19047619047619,68.57142857142857,77.77777777777779,52.78,88.88888888888889,73.817,high
