intern_id,sprints_done,sprints_total,tasks_completed,tasks_assigned,meetings_attended,meetings_total,code_review_score,deadline_met_percentage,attendance_percentage,punctuality,performance
RX0001,2,4,11,14,17,22,,61.9,14.73,1,medium
RX0002,1,5,4,9,10,19,35.22,0.0,83.51,0,low
RX0003,4,5,9,13,16,17,63.06,52.11,49.99,0,medium
RX0004,4,7,7,14,11,17,83.69,79.15,47.39,1,medium
RX0005,2,5,6,11,4,16,72.15,60.14,51.53,0,low
RX0006,4,7,12,12,16,23,,74.13,74.49,1,high
RX0007,2,6,3,8,10,19,4.76,87.99,49.67,0,low
RX0008,2,4,11,14,14,17,49.74,64.1,100.0,0,medium
RX0009,7,7,13,14,13,15,50.06,82.14,85.3,1,high
RX0010,3,5,10,11,15,18,47.46,57.27,,0,medium
RX0011,5,6,7,14,14,20,32.59,87.87,48.35,1,medium
RX0012,2,7,3,11,1,21,34.59,41.75,52.48,0,low
RX0013,4,5,9,14,16,18,79.78,42.27,100.0,1,medium
RX0014,6,6,12,13,13,17,37.66,92.75,100.0,1,high
RX0015,2,4,6,8,13,16,37.88,83.53,0.0,0,medium
RX0016,1,7,8,13,4,22,85.72,61.79,,0,low
RX0017,5,5,9,9,18,20,84.69,55.91,64.98,1,high
RX0018,4,7,9,10,10,17,31.74,71.92,85.68,1,medium
RX0019,3,7,1,12,1,17,49.65,60.72,73.21,1,low
RX0020,5,7,4,8,13,18,51.28,49.77,44.66,0,medium
RX0021,4,7,12,13,16,22,27.36,46.23,39.36,1,medium
RX0022,5,6,6,9,15,17,46.34,51.33,89.9,0,high
RX0023,5,5,7,9,16,21,67.91,37.65,79.57,0,high
RX0024,3,7,4,11,6,19,82.67,56.37,35.45,0,low
RX0025,4,5,7,10,10,15,38.56,86.0,100.0,0,medium
RX0026,3,7,4,8,11,22,7.56,100.0,97.68,0,medium
RX0027,4,6,8,8,13,18,21.17,87.0,70.43,1,high
RX0028,3,7,10,14,15,16,78.9,94.31,78.29,1,medium
RX0029,2,4,5,11,15,17,47.84,70.19,87.12,1,medium
RX0030,2,5,10,12,19,22,48.39,9.58,99.74,1,medium
RX0031,3,6,13,14,15,19,49.8,71.54,65.3,1,medium
